식재료,English
찹쌀,Glutinous rice
설탕,sugar
쌀뜨물,Rice water
족발,Jokbal
수삼,Ginseng
살라미,salami
꼬치,food on a skewer
민어,Minute
미역,brown seaweed
아욱,Mallow
콩,bean
콩나물,bean sprout
플레인요거트,Plain yogurt
들깨,Perilla
낙지,octopus
청경채,Bok
레몬그라스,Lemon grass
쪽파,Chives
녹말,starch
완숙,Perfection
멜론,melon
토마토,tomato
플라워,Flower
청국장,Cheonggukjang
누룽지,Nurungji
참치,tuna
토란,Taro
피망,pimento
후추,pepper
골뱅이,whelk
공기밥,Rice
쌀국수,Rice noodles
버터,butter
파스타면,Pasta
꼬막,Kick
명태,Pollock
갈치,Cutlass
사과,apple
생수,bottled water
바게트,Baguette
부추,chives
석류,Pomegranate
소주,soju
아보카도,avocado
소고기,beef
스팸,Spam
다슬기,Dasulgi
훈제,Smoked
시금치,spinach
송이버섯,Pine mushroom
들기름,Perilla oil
오곡,Five grains
홍시,Hongsi
낫토,Natto
드레싱,dressing
요플레,Yople
로즈마리,Rosemary
김치,kimchi
물엿,Pimp
닭다리,Chicken leg
자두,plum
당근,carrot
해선장,Hae
빵가루,Breadcrumb
우엉,burdock
쇠고기,beef
오곡밥,Five grain rice
청포도,Green grapes
라면,ramen
뼈,bone
물,water
매실,plum
버섯,mushroom
라비올리,ravioli
햄,ham
커피,coffee
오미자,Schisandra
장아찌,Pickle
강낭콩,kidney bean
목심,Crowd
김,seaweed
느타리버섯,Oyster mushroom
통깨,Sesame
바나나,banana
패티,Patty
머스터드,Mustard
천도복숭아,Peach
마늘,garlic
단감,Sweetness
쑥갓,Mugwort
코코아,cocoa
떡,rice cake
토막,piece
장어,Eel
파래,Paradise
돌나물,Stone herb
동치미,Dongchimi
소금물,brine
돼지갈비,Pork ribs
탄산수,sparkling water
깨소금,Sesame salt
필레,filet
보쌈,Bossam
어린잎채소,Young leafy vegetables
좁쌀,Millet
연어,salmon
키조개,pen shell
민트,Mint
아이스크림,ice cream
마요네즈,mayonnaise
절편,Fragmentation
탈지분유,Degradation
계란,egg
사이다,Cider
취나물,Chwinamul
수수,sugarcane
오일,Oil
열무,Radish
가쓰오부시,Katsuobushi
크래커,cracker
녹두,green gram
냉이,Hotter
부채살,Debt
먹물,India ink
카카오,Cacao
스테이크,steak
더덕,Deodeok
파슬리,parsley
율무,Yulmu
식초,vinegar
안심,tenderloin
달래,Soothe
오트밀,oatmeal
고구마,sweet potato
사골,ethmoid
가람,Garam
닭고기,chicken
미나리,water parsley
고춧가루,Red pepper powder
목살,Pork Neck
앙금,Sediment
카스텔라,Castella
불고기,Bulgogi
견과,nut
오리고기,Duck Meat
양조,brewing
참나물,Greens
소시지,sausage
양고기,lamb
빵,bread
아몬드,almond
북어,dried pollack
조미료,condiment
고추,pepper
깨,sesame
실파,Gap
식용유,Cooking oil
묵,Jelly
지단,Zidane
국수,noodle
튀밥,Tubap
드라이아이스,Dry ice
코코넛,coconut
순두부,Tofu
호두,walnut
느타리,Yaw
요구르트,yogurt
팽이버섯,Top mushroom
치즈,cheese
닭날개,Chicken wings
두유,Soy milk
파프리카,paprika
식혜,Sikhye
복숭아,peach
백련,White lotus
도미,Sea bream
간,liver
야채,vegetable
돼지고기,pork
브로콜리,broccoli
서리,frost
깻잎,Sesame leaves
정종,Jeongjong
꽁치,Saury
게맛살,Crab meat
실고추,Pepper
동태,Dynamics
황도,ecliptic
조개,seashell
전분,Starch
배,ship
레몬,lemon
쑥,Wormwood
가래떡,Sputum
체리,cherry
우렁이,Swallow
닭살,Chicken
참외,melon
수박,watermelon
어묵,Fish cake
겨자,mustard
고등어,mackerel
막걸리,Makgeolli
무,radish
갈비,rib
청주,rice wine
청양고추,Cheongyang pepper
감귤,Citrus
유자,Citron
돼지,pig
미숫가루,Rice flour
감태,Emotional
초콜릿,chocolate
녹차,green tea
팥소,Red bean paste
허브,Herb
부챗살,Bushhatsal
분유,powdered milk
레시틴,lecithin
우유,milk
치킨,chicken
돈육,Pork
과메기,Guamegi
미림,Mirim
양파,onion
자청,Volunteer
삼치,Mackerel
고수,master
케일,Kale
