레시피명,전처리된 식재료
새우 두부 계란찜,새우 시금치 설탕 버터 달걀 두부
부추 콩가루 찜,쪽 대파 콩가루 참기름 마늘 부추 고춧가루 간장 참깨
방울토마토 소박이,쪽 고춧가루 통깨 양파 설탕 방울토마토 물 마늘 부추
순두부 사과 소스 오이무침,순두부 사과 오이 땅콩
사과 새우 북엇국,새우 양파 물 사과 표고버섯
저염 된장으로 맛을 낸 황태해장국,물 황태 콩나물 마늘 청양고추
된장국,양파 물 감자 된장 대파 두부
표고버섯 청경채국,양파 물 표고버섯 청경채 마늘 멸치 간장
치커리샐러드와 올리브 마늘 소스,쪽 식초 샐러드 양파 설탕 당근 드레싱 마늘 올리브
스트로베리 샐러드,식초 소금 샐러드 메추리알 딸기 블루베리 플레인요거트
시금치 우유 소스와 그린매쉬드포테이토,우유 시금치 설탕 감자 아몬드
버섯구이와 두부타르타르 소스,식초 두부 양파 후추 버섯 머스터드 오이 피클
구운채소와 간장레몬 소스,식초 피망 가지 양파 설탕 레몬 파프리카 호박 간장
브로콜리 컬리플라워 샐러드와 두유 요거트 소스,호두 샐러드 소금 양파 설탕 브로콜리 두유 플라워 송이버섯 강낭콩 플레인요거트
오렌지와 당근 만남주스,당근 오렌지
칠곡석류국수,호두 식초 소면 잣 오이 아몬드 석류
블랙빈 곤약국수,호두 토마토 오이 달걀
닭가슴살 브로콜리 만두,소금 브로콜리 표고버섯 닭 참기름 숙주 간장
함초 냉이 국수,냉이 실고추 다시마 양파 파 소면 버섯 고추 달걀 간장
된장 두부찌개,돼지고기 김치 쌀뜨물 고추 된장 대파 두부 청양고추 고춧가루
부대된장찌개,떡 다시마 양파 김치 스팸 베이컨 고추 소시지 마늘 대파 두부 청양고추
양배추감자전,오렌지 식초 두부 돼지고기 당근 감자 달걀 식용유 양배추 청양고추 간장
돌나물 샐러드,돌나물 샐러드 마요네즈 레몬 참기름 고추 청양고추
석류 보쌈김치,쪽파 소금 배추 생강 마늘 석류 미나리
유자 대구조림,식초 파프리카 밀가루 대파 대구 미나리
파프리카 물김치,쪽파 소금 배추 고구마 물엿 배 사과 부추 파프리카
고추장 라따뚜이,살라미 가지 양파 설탕 토마토 사과 마늘 고추장
민들레 샐러드,오렌지 설탕 고추 드레싱 비트 민들레 간장
토마토 가지 카프레제,식초 가지 토마토 드레싱 마늘
우렁된장소스 배추롤,우렁이 돼지고기 양파 당근 표고버섯 쌀 된장 부추
인삼떡갈비,소고기 소금 양파 설탕 양송이버섯 배 돼지고기 인삼 대추 파프리카 마늘 두부 간장
초계탕과 사색곤약,식초 소금 다시마 새우 설탕 양파 오이 겨자 닭고기 마늘 비트 대파
호박잎 삼계탕,찹쌀 소금 인삼 닭고기 미나리 대추
황태미역 곤약스프,표고버섯 참기름 들깨 된장 마늘 두부 황태
훈제오리가슴살 샐러드,양파 파슬리 블루베리
훈제오리가슴살크러스트,오렌지 땅콩 파슬리
간장소스를 곁들인 새우전복찜,녹말 간장 소금 새우 시금치 설탕 레몬 마늘 전복 해초
검은콩국수,방울토마토 콩 메밀 잣 오이 땅콩 참깨
겨자소스로 구운 산마샐러드,식초 설탕 토마토 참나물 겨자 간장
닭고기김치찌개,다시마 양파 김치 물 청주 닭 참기름 고추 달걀 마늘 대파 멸치 두부 청양고추 미나리 느타리버섯
완자김치찌개,돼지고기 김치 등심 콩나물 고추 마늘 새우젓 대파 두부 쇠고기
백김치콩비지찌개,백김치 참기름 마늘 간장
오징어김치찌개,다시마 오징어 팽이버섯 김치 고구마 물 콩나물 고추 참기름 대파 쑥갓 두부 멸치
해물김치찌개,다시마 양파 팽이버섯 김치 물 참기름 마늘 대파 두부 주꾸미 멸치
맑은부대찌개,떡 고추 쇠고기 다시마 파 콩나물 두부 미나리 소금 양파 대파 느타리버섯 배추 돼지고기 마늘 당면
나가사키부대찌개,표고버섯 고추 우유 다시마 팽이버섯 파 사골 햄 두부 밀가루 소금 통조림 양파 감자 청양고추 느타리버섯 돼지고기 깻잎 마늘 쑥갓
삼계부대찌개,떡 당근 표고버섯 닭 고추 팽이버섯 콩가루 겨자 고춧가루 대파 쌀겨 김치 마늘 숙주 쑥갓 당면 대추
쑥갓부대찌개,고추장 다시마 통조림 팽이버섯 김치 물 설탕 마늘 햄 쑥갓 두부 청양고추 고춧가루
들깨순두부찌개,순두부 간장 소금 양파 굴 표고버섯 고추 마늘 대파 멸치 미나리 느타리버섯
백태순두부찌개,순두부 다시마 새우 양파 물 콩 표고버섯 바지락 고추 대파 멸치 느타리버섯
